Brand,Model Name,Model Image,Weight(g),Width(px),Height(px),ROM(MB),RAM(MB),Battery Capacity(mAh),Price(USD)
sony,Sony Xperia Z5 Premium Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-z5-premium-.jpg,180.0,2160,3840,32000.0,3000.0,3430.0,248.59999999999997
sony,Sony Xperia Z5 Premium,https://fdn2.gsmarena.com/vv/bigpic/sony-z5-premium-.jpg,180.0,2160,3840,32000.0,3000.0,3430.0,214.7
sony,Sony Xperia Z5 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-z5-.jpg,154.0,1080,1920,32000.0,3000.0,2900.0,192.1
sony,Sony Xperia Z5 Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-z5-compact-.jpg,138.0,720,1280,32000.0,2000.0,2700.0,225.99999999999997
sony,Sony Xperia M5 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg,142.6,1080,1920,16000.0,3000.0,2600.0,124.29999999999998
sony,Sony Xperia M5,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg,142.5,1080,1920,16000.0,3000.0,2600.0,124.29999999999998
sony,Sony Xperia C5 Ultra Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c5-ultra.jpg,187.0,1080,1920,16000.0,2000.0,2930.0,225.99999999999997
sony,Sony Xperia C5 Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c5-ultra.jpg,187.0,1080,1920,16000.0,2000.0,2930.0,225.99999999999997
sony,Sony Xperia Z3+ dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z4.jpg,144.0,1080,1920,32000.0,3000.0,2930.0,361.59999999999997
sony,Sony Xperia Z3+,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z4.jpg,144.0,1080,1920,32000.0,3000.0,2930.0,327.7
sony,Sony Xperia C4 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg,147.0,1080,1920,16000.0,2000.0,2600.0,282.5
sony,Sony Xperia C4,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg,147.0,1080,1920,16000.0,2000.0,2600.0,248.59999999999997
sony,Sony Xperia Z4 Tablet WiFi,https://fdn2.gsmarena.com/vv/bigpic/-sony-xperia-z4-tablet.jpg,389.0,1600,2560,32000.0,3000.0,6000.0,451.99999999999994
sony,Sony Xperia Z4 Tablet LTE,https://fdn2.gsmarena.com/vv/bigpic/-sony-xperia-z4-tablet.jpg,393.0,1600,2560,32000.0,3000.0,6000.0,565.0
sony,Sony Xperia E4g,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4g.jpg,135.0,540,960,8000.0,1000.0,2300.0,146.89999999999998
sony,Sony Xperia E4g Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4g.jpg,135.0,540,960,8000.0,1000.0,2300.0,169.49999999999997
sony,Sony Xperia E4 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4.jpg,144.0,540,960,8000.0,1000.0,2300.0,135.6
sony,Sony Xperia E4,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4.jpg,144.0,540,960,8000.0,1000.0,2300.0,135.6
sony,Sony Xperia E3 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg,143.8,480,854,4000.0,1000.0,2330.0,214.7
sony,Sony Xperia E3,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg,143.8,480,854,4000.0,1000.0,2330.0,192.1
sony,Sony Xperia Z3 Tablet Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3-tablet-compact.jpg,270.0,1200,1920,16000.0,3000.0,4500.0,429.4
sony,Sony Xperia Z3 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg,152.0,1080,1920,16000.0,3000.0,3100.0,451.99999999999994
sony,Sony Xperia Z3v,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3v.jpg,170.6,1080,1920,32000.0,3000.0,3200.0,418.09999999999997
sony,Sony Xperia Z3,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg,152.0,1080,1920,16000.0,3000.0,3100.0,203.39999999999998
sony,Sony Xperia M2 Aqua,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m2.jpg,149.0,540,960,8000.0,1000.0,2300.0,225.99999999999997
sony,Sony Xperia Z3 Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3-compact.jpg,129.0,720,1280,16000.0,2000.0,2600.0,338.99999999999994
sony,Sony Xperia C3 Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c3.jpg,149.7,720,1280,8000.0,1000.0,2500.0,282.5
sony,Sony Xperia C3,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c3.jpg,149.7,720,1280,8000.0,1000.0,2500.0,214.7
sony,Sony Xperia Z2a,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z2a.jpg,163.0,1080,1920,16000.0,3000.0,3000.0,282.5
sony,Sony Xperia T3,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-t3.jpg,148.0,720,1280,8000.0,1000.0,2500.0,225.99999999999997
sony,Sony SmartWatch 3 SWR50,https://fdn2.gsmarena.com/vv/bigpic/sony-smartwatch-3-swr50.jpg,76.0,320,320,4000.0,512.0,420.0,180.79999999999998
sony,Sony Xperia M2,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m2.jpg,148.0,540,960,8000.0,1000.0,2300.0,192.1
sony,Sony Xperia M2 dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m2.jpg,148.0,540,960,8000.0,1000.0,2300.0,203.39999999999998
sony,Sony Xperia Z2 Tablet LTE,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z2-tablet.jpg,439.0,1200,1920,16000.0,3000.0,6000.0,395.49999999999994
sony,Sony Xperia Z2 Tablet Wi-Fi,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z2-tablet.jpg,426.0,1200,1920,16000.0,3000.0,6000.0,429.4
sony,Sony Xperia Z2,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z2-new.jpg,163.0,1080,1920,16000.0,3000.0,3200.0,293.79999999999995
sony,Sony Xperia E1 dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e1.jpg,122.0,480,800,4000.0,512.0,1750.0,135.6
sony,Sony Xperia E1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e1.jpg,120.0,480,800,4000.0,512.0,1700.0,158.2
sony,Sony Xperia T2 Ultra dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-t2-ultra-ss.jpg,171.8,720,1280,8000.0,1000.0,3000.0,316.4
sony,Sony Xperia T2 Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-t2-ultra-ss.jpg,171.7,720,1280,8000.0,1000.0,3000.0,259.9
sony,Sony Xperia Z1s,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z1s-ofic.jpg,162.0,1080,1920,32000.0,2000.0,3000.0,293.79999999999995
sony,Sony Xperia Z1 Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z1-compact-new.jpg,137.0,720,1280,16000.0,2000.0,2300.0,361.59999999999997
sony,Sony Xperia Z1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z1-ofic.jpg,170.0,1080,1920,16000.0,2000.0,3000.0,372.9
sony,Sony Xperia Z Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z-ultra.jpg,212.0,1080,1920,16000.0,2000.0,3050.0,316.4
sony,Sony Xperia C,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c.jpg,153.0,540,960,4000.0,1000.0,2390.0,248.59999999999997
sony,Sony Xperia M,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m.jpg,115.0,480,854,4000.0,1000.0,1750.0,146.89999999999998
sony,Sony Xperia ZR,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-zr.jpg,138.0,720,1280,8000.0,2000.0,2300.0,259.9
sony,Sony Xperia L,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l-new.jpg,137.0,480,854,8000.0,1000.0,1750.0,146.89999999999998
sony,Sony Xperia SP,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia_sp.jpg,155.0,720,1280,8000.0,1000.0,2370.0,203.39999999999998
sony,Sony Xperia Tablet Z Wi-Fi,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-tablet-z-new.jpg,495.0,1200,1920,16000.0,2000.0,6000.0,338.99999999999994
